bird,ExperimentDate,BirdMass,MuscleMass,MusLengthShort,MusLengthLong,MeanMuscleLength
bird01,2014-07-29,14.2,1.25,16,28,22
bird02,2014-08-15,13.1,1.07,15,27,21
bird03,2014-08-17,13.6,1.46,13,27,20
bird04,2014-08-25,15.5,1.25,21,30,25.5
bird05,2014-09-04,13.5,1.2,18,26,22
bird06,2014-09-10,13.5,1.19,13,26,19.5
bird07,2014-10-01,12.9,1.2,14,28,21
bird08,2014-10-03,13.9,1.12,19,28,23.5
bird09,2014-12-17,15.4,1.23,15,27,21
bird10,2015-03-13,15.1,1.27,17,31,24
bird11,2015-03-18,13.1,1.12,13,27,20
bird12,2015-03-19,12.8,1.03,14,29,21.5
